InspectionID,District,Block,Designation,Name of inspector,InspectionPlan,InspectionDate,UdiseCode,SchoolName,Question_Eng,Observation_Eng
11118,SHIMLA,SUNI,Block   Elementary Education Officer,MOHAN LAL,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11118.pdf,2018-11-01,2111603401,GPS PATTUKHAR,Total number of students in class 3 Mat, 05
11118,SHIMLA,SUNI,Block   Elementary Education Officer,MOHAN LAL,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11118.pdf,2018-11-01,2111603401,GPS PATTUKHAR,Number of students in grade A Mat, 02
11118,SHIMLA,SUNI,Block   Elementary Education Officer,MOHAN LAL,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11118.pdf,2018-11-01,2111603401,GPS PATTUKHAR,Number of students in grade B  Mat, 01
11118,SHIMLA,SUNI,Block   Elementary Education Officer,MOHAN LAL,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11118.pdf,2018-11-01,2111603401,GPS PATTUKHAR,Number of students in grade C Mat, 02
11118,SHIMLA,SUNI,Block   Elementary Education Officer,MOHAN LAL,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11118.pdf,2018-11-01,2111603401,GPS PATTUKHAR,Number of students in grade D Mat, 00
11118,SHIMLA,SUNI,Block   Elementary Education Officer,MOHAN LAL,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11118.pdf,2018-11-01,2111603401,GPS PATTUKHAR,Total number of students in class 3  Hin, 05
11118,SHIMLA,SUNI,Block   Elementary Education Officer,MOHAN LAL,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11118.pdf,2018-11-01,2111603401,GPS PATTUKHAR,Number of students in grade A Hin, 02
11118,SHIMLA,SUNI,Block   Elementary Education Officer,MOHAN LAL,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11118.pdf,2018-11-01,2111603401,GPS PATTUKHAR,Number of students in grade B Hin, 01
11118,SHIMLA,SUNI,Block   Elementary Education Officer,MOHAN LAL,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11118.pdf,2018-11-01,2111603401,GPS PATTUKHAR,Number of students in grade C Hin, 02
11118,SHIMLA,SUNI,Block   Elementary Education Officer,MOHAN LAL,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11118.pdf,2018-11-01,2111603401,GPS PATTUKHAR,Number of students in grade D Hin, 00
11118,SHIMLA,SUNI,Block   Elementary Education Officer,MOHAN LAL,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11118.pdf,2018-11-01,2111603401,GPS PATTUKHAR,Number of students in grade E Hin, 00
11119,UNA,AMB,Block Resource Centre Coordinator,SUSHIL MALHOTRA,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11119.pdf,2018-11-01,2070504301,GPS KATHIARI,Total number of students in class 3 Mat, 14
11119,UNA,AMB,Block Resource Centre Coordinator,SUSHIL MALHOTRA,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11119.pdf,2018-11-01,2070504301,GPS KATHIARI,Number of students in grade A Mat, 5
11119,UNA,AMB,Block Resource Centre Coordinator,SUSHIL MALHOTRA,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11119.pdf,2018-11-01,2070504301,GPS KATHIARI,Number of students in grade B  Mat, 1
11119,UNA,AMB,Block Resource Centre Coordinator,SUSHIL MALHOTRA,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11119.pdf,2018-11-01,2070504301,GPS KATHIARI,Number of students in grade C Mat, 7
11119,UNA,AMB,Block Resource Centre Coordinator,SUSHIL MALHOTRA,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11119.pdf,2018-11-01,2070504301,GPS KATHIARI,Number of students in grade D Mat, 0
11119,UNA,AMB,Block Resource Centre Coordinator,SUSHIL MALHOTRA,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11119.pdf,2018-11-01,2070504301,GPS KATHIARI,Total number of students in class 3  Hin, 14
11119,UNA,AMB,Block Resource Centre Coordinator,SUSHIL MALHOTRA,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11119.pdf,2018-11-01,2070504301,GPS KATHIARI,Number of students in grade A Hin, 5
11119,UNA,AMB,Block Resource Centre Coordinator,SUSHIL MALHOTRA,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11119.pdf,2018-11-01,2070504301,GPS KATHIARI,Number of students in grade B Hin, 1
11119,UNA,AMB,Block Resource Centre Coordinator,SUSHIL MALHOTRA,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11119.pdf,2018-11-01,2070504301,GPS KATHIARI,Number of students in grade C Hin, 7
11119,UNA,AMB,Block Resource Centre Coordinator,SUSHIL MALHOTRA,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11119.pdf,2018-11-01,2070504301,GPS KATHIARI,Number of students in grade D Hin, 0
11119,UNA,AMB,Block Resource Centre Coordinator,SUSHIL MALHOTRA,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11119.pdf,2018-11-01,2070504301,GPS KATHIARI,Number of students in grade E Hin, 1
11119,UNA,AMB,Block Resource Centre Coordinator,SUSHIL MALHOTRA,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11119.pdf,2018-11-01,2070504301,GPS KATHIARI,chool requires budgets provision for nursary classes, 
11120,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11120.pdf,2018-11-01,2080121101,GPS GHAMRARA,Total number of students in class 3 Mat, 3
11120,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11120.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade A Mat, 0
11120,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11120.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade B  Mat, 2
11120,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11120.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade C Mat, 1
11120,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11120.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade D Mat, 0
11120,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11120.pdf,2018-11-01,2080121101,GPS GHAMRARA,Total number of students in class 3  Hin, 3
11120,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11120.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade A Hin, 1
11120,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11120.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade B Hin, 2
11120,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11120.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade C Hin, 0
11120,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11120.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade D Hin, 0
11120,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11120.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade E Hin, 0
11120,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11120.pdf,2018-11-01,2080121101,GPS GHAMRARA,good work,
11121,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11121.pdf,2018-11-01,2080121101,GPS GHAMRARA,Total number of students in class 3 Mat, 3
11121,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11121.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade A Mat, 0
11121,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11121.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade B  Mat, 2
11121,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11121.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade C Mat, 1
11121,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11121.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade D Mat, 0
11121,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11121.pdf,2018-11-01,2080121101,GPS GHAMRARA,Total number of students in class 3  Hin, 3
11121,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11121.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade A Hin, 1
11121,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11121.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade B Hin, 2
11121,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11121.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade C Hin, 0
11121,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11121.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade D Hin, 0
11121,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11121.pdf,2018-11-01,2080121101,GPS GHAMRARA,Number of students in grade E Hin, 0
11121,BILASPUR (H.P.),SADAR,Block Resource Centre Coordinator,ANIL THAKUR,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11121.pdf,2018-11-01,2080121101,GPS GHAMRARA,good work,
11122,MANDI,DRANG-1,Block Resource Centre Coordinator,Manoj kumar,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11122.pdf,2018-11-01,2051105202,GHS GALOO,campus is clean,
11123,SHIMLA,SUNI,Block   Elementary Education Officer,MOHAN LAL,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11123.pdf,2018-11-01,2111603801,GPS KANGRI,Total number of students in class 3 Mat, 02
11123,SHIMLA,SUNI,Block   Elementary Education Officer,MOHAN LAL,http://ssa.pragyaware.com/PDF/Inspection/Inspection-11123.pdf,2018-11-01,2111603801,GPS KANGRI,Number of students in grade A Mat, 01
